"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
6594, 2.202637682020505e+00, 2.315065491361274e-01, 2.578516318843213e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551392361156135e+03, 1.000000000000000e-10, 3.379649965757658e+14, 2.220556944462453e+03, 3.000007744156858e+02, 0.000000000000000e+00, 3.006870079203534e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919915524805e-05, 1.974043731715510e-03, 2.074803568028689e-04, 8.573654200628932e+04, 3.675443554849229e-03, 7.629537616558800e-27
6595, 2.201984453613403e+00, 2.314378920639451e-01, 2.578522172021060e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551404964297589e+03, 1.000000000000000e-10, 3.379380031688238e+14, 2.220561985719034e+03, 3.000007745020144e+02, 0.000000000000000e+00, 3.006879585962827e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919915933289e-05, 1.974154034703475e-03, 2.074919501140665e-04, 8.574134012604904e+04, 3.675693148246320e-03, 7.630164359617912e-27
6596, 2.201331225206301e+00, 2.313692349917629e-01, 2.578528026168198e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551417569523041e+03, 1.000000000000000e-10, 3.379110228361709e+14, 2.220567027809215e+03, 3.000007745881896e+02, 0.000000000000000e+00, 3.006889094294114e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919916341046e-05, 1.974264363891266e-03, 2.075035461790606e-04, 8.574613944518146e+04, 3.675942717884712e-03, 7.630790910431195e-27
6597, 2.200677996799199e+00, 2.313005779195806e-01, 2.578533881262082e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551430176795600e+03, 1.000000000000000e-10, 3.378840473810852e+14, 2.220572070718239e+03, 3.000007746748411e+02, 0.000000000000000e+00, 3.006898604169569e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919916751057e-05, 1.974374721093022e-03, 2.075151451883572e-04, 8.575094004389529e+04, 3.676192310024484e-03, 7.631417453943522e-27
6598, 2.200024768392097e+00, 2.312319208473984e-01, 2.578539737285516e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551442786061478e+03, 1.000000000000000e-10, 3.378570681589062e+14, 2.220577114424590e+03, 3.000007747610626e+02, 0.000000000000000e+00, 3.006908115548616e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919917159034e-05, 1.974485127523130e-03, 2.075267493718193e-04, 8.575574284159453e+04, 3.676441991475617e-03, 7.632044185354207e-27
6599, 2.199371539984996e+00, 2.311632637752161e-01, 2.578545594234153e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551455397316666e+03, 1.000000000000000e-10, 3.378300947283978e+14, 2.220582158926665e+03, 3.000007748471435e+02, 0.000000000000000e+00, 3.006917628428235e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919917566346e-05, 1.974595565643095e-03, 2.075383568861303e-04, 8.576054707895096e+04, 3.676691693884372e-03, 7.632670888753060e-27
6600, 2.198718311577894e+00, 2.310946067030339e-01, 2.578551452107552e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551468010566012e+03, 1.000000000000000e-10, 3.378031248120310e+14, 2.220587204226403e+03, 3.000007749333969e+02, 0.000000000000000e+00, 3.006927142812078e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919917974473e-05, 1.974706037976102e-03, 2.075499679957323e-04, 8.576535286531116e+04, 3.676941431986589e-03, 7.633297615564844e-27
6601, 2.198065083170792e+00, 2.310259496308517e-01, 2.578557310911889e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551480625819919e+03, 1.000000000000000e-10, 3.377761602286531e+14, 2.220592250327966e+03, 3.000007750196665e+02, 0.000000000000000e+00, 3.006936658707996e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919918382678e-05, 1.974816548025869e-03, 2.075615830703112e-04, 8.577016035363113e+04, 3.677191199139559e-03, 7.633924324686968e-27
6602, 2.197411854763691e+00, 2.309572925586694e-01, 2.578563170621727e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551493243026714e+03, 1.000000000000000e-10, 3.377491946104385e+14, 2.220597297210684e+03, 3.000007751061194e+02, 0.000000000000000e+00, 3.006946176077010e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919918791750e-05, 1.974927094078251e-03, 2.075732019288601e-04, 8.577496946896068e+04, 3.677441028416775e-03, 7.634551159949780e-27
6603, 2.196758626356589e+00, 2.308886354864871e-01, 2.578569031257777e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551505862227884e+03, 1.000000000000000e-10, 3.377222338695630e+14, 2.220602344891152e+03, 3.000007751925878e+02, 0.000000000000000e+00, 3.006955694950414e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919919200894e-05, 1.975037678854807e-03, 2.075848248567820e-04, 8.577978032957275e+04, 3.677690890159398e-03, 7.635177987788906e-27
6604, 2.196105397949487e+00, 2.308199784143049e-01, 2.578574892821633e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551518483424143e+03, 1.000000000000000e-10, 3.376952761856012e+14, 2.220607393369656e+03, 3.000007752789250e+02, 0.000000000000000e+00, 3.006965215328746e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919919609418e-05, 1.975148301960184e-03, 2.075964518137326e-04, 8.578459291726166e+04, 3.677940793912541e-03, 7.635804849342709e-27
6605, 2.195452169542385e+00, 2.307513213421226e-01, 2.578580755310591e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551531106615332e+03, 1.000000000000000e-10, 3.376683233765972e+14, 2.220612442646131e+03, 3.000007753654368e+02, 0.000000000000000e+00, 3.006974737211888e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919920018769e-05, 1.975258959067888e-03, 2.076080823446396e-04, 8.578940704530601e+04, 3.678190725735317e-03, 7.636431703478806e-27
6606, 2.194798941135284e+00, 2.306826642699404e-01, 2.578586618736541e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551543731815646e+03, 1.000000000000000e-10, 3.376413736224164e+14, 2.220617492726257e+03, 3.000007754515073e+02, 0.000000000000000e+00, 3.006984260610546e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919920426031e-05, 1.975369660634378e-03, 2.076197175479604e-04, 8.579422316568602e+04, 3.678440705284922e-03, 7.637058591372820e-27
6607, 2.194145712728182e+00, 2.306140071977582e-01, 2.578592483104338e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551556359049890e+03, 1.000000000000000e-10, 3.376144251011022e+14, 2.220622543619955e+03, 3.000007755379116e+02, 0.000000000000000e+00, 3.006993785543432e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919920834873e-05, 1.975480398480782e-03, 2.076313565645644e-04, 8.579904092363102e+04, 3.678690734862390e-03, 7.637685554247413e-27
6608, 2.193492484321080e+00, 2.305453501255759e-01, 2.578598348422778e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551568988334116e+03, 1.000000000000000e-10, 3.375874796304129e+14, 2.220627595333644e+03, 3.000007756244941e+02, 0.000000000000000e+00, 3.007003312022652e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919921244557e-05, 1.975591173845012e-03, 2.076429995246760e-04, 8.580386037245697e+04, 3.678940805716454e-03, 7.638312551010793e-27
6609, 2.192839255913978e+00, 2.304766930533937e-01, 2.578604214709892e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551581619701440e+03, 1.000000000000000e-10, 3.375605372081974e+14, 2.220632647880575e+03, 3.000007757109467e+02, 0.000000000000000e+00, 3.007012840073190e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919921653628e-05, 1.975701990683025e-03, 2.076546468433808e-04, 8.580868168243255e+04, 3.679190921545007e-03, 7.638939581756158e-27
